2010CensusBG,TotPop,EmploymentMix,EmploymentHHMix,IntersectionDensity,ProximitytoTransit,PopDensity,ResDensity,WalkIndex,MedHV,MedRent,MedRent12,MedIncome,MedYrsLived,MedAge,Percent65,Percentage of Households with a person over 65,Percentage of Elderly Population: Female,Percentage of Elderly Population below poverty line,Percentage of Elderly Population living with family,Percentage of Elderly Population not working in the past year
530330014001,1109,0.357137601,0.372499214,128.3476424,60.35,13.898413,6.742422,14,576800,1370,16440,37153,6,35.8,0.140667268,21.38%,0.846153846,0.108974359,0.403846154,0.871794872
530330014002,1639,0.724290863,0.489948318,120.1894812,168.98,15.051858,5.822378,16,529500,1165,13980,47688,9,32.7,0.07504576,15.08%,0.390243902,0.154471545,0.837398374,0.292682927
530330014003,1532,0.633021778,0.579405533,218.8855727,0,17.676115,7.64965,17.33333333,451600,1444,17328,52417,8,34.3,0.086814621,17.35%,0.721804511,0,0.45112782,1
530330014004,1394,0.599985294,0.30813599,111.9144592,222.63,9.395611,4.097942,14.16666667,680700,1180,14160,72647,14,45,0.159971306,27.80%,0.677130045,0.089686099,0.739910314,0.623318386
530330015001,1519,0.507147969,0.25423359,163.6938202,340.64,12.511355,4.941944,13.66666667,763600,1545,18540,50033,12,42,0.121790652,19.76%,0.540540541,0,0.897297297,0.691891892
530330015002,1233,0.67089116,0.181544356,137.2534534,502.92,8.065129,3.813439,13.5,785700,1391,16692,74674,14,49.8,0.223844282,36.52%,0.405797101,0.195652174,0.764492754,0.666666667
530330016001,1926,0.742631504,0.435868339,75.58860538,293.71,8.906252,3.135223,14.16666667,931400,NA,NA,83245,12,41.6,0.174974039,35.69%,0.543026706,0.160237389,0.753709199,0.71810089
530330016002,1362,0.65259351,0.290111675,152.7367279,519.01,8.904962,3.327919,14.16666667,894500,NA,NA,52639,18,49.8,0.23042836,42.44%,0.628125,0.025641026,0.725,0.8125
530330016003,1470,0.73787897,0.715626027,244.6868573,266.88,15.990054,7.918884,18.33333333,569400,1729,20748,49250,9,40.2,0.127891156,19.53%,0.712765957,0.042553191,0.696808511,0.585106383
530330017011,1906,0.603377984,0.710653732,253.4158318,210.56,23.824232,12.612093,17.66666667,358400,1402,16824,46875,5,29.9,0.020515518,3.79%,0.435897436,0.256410256,0.435897436,1
530330017012,1229,0.656920684,0.535261761,220.9265809,229.33,16.98825,9.440988,17.16666667,380000,1627,19524,34922,11,36.9,0.188771359,29.55%,0.318965517,0.163793103,0.693965517,0.801724138
530330017013,889,0.772463425,0.543704438,209.2090658,270.91,13.62102,6.741562,17.16666667,425500,1315,15780,45938,7,39.6,0.080989876,15.00%,0.555555556,0.180555556,0.75,0.486111111
530330017021,2141,0.735866917,0.32344323,278.9410896,209.21,26.366644,14.507196,16.66666667,433700,1424,17088,42411,6,33.1,0.085007006,10.02%,0.582417582,0.505494505,0.291208791,0.82967033
530330017022,1262,0.36000164,0.365845831,180.7133863,289.68,15.718756,7.062231,14.16666667,580200,1661,19932,46909,10,38,0.205229794,35.10%,0.575289575,0.11969112,0.478764479,0.876447876
530330017023,1149,0.4740325,0.768453251,137.8789811,323.21,15.798817,6.641278,15.5,482700,2066,24792,42500,6,40.7,0.090029042,16.44%,0.35,0.075268817,0.044444444,1
530330017024,466,0.726208871,0.521409248,138.7593807,346.01,5.942837,3.02243,15.83333333,384700,2661,31932,47404,12,38.1,0.139484979,23.63%,0.523076923,0,0.846153846,0.323076923
530330018001,1675,0.426873624,0.354708849,149.4372154,126.07,16.1477,7.076067,14.33333333,485900,1575,18900,66292,7,35.1,0.071044776,10.92%,0.621848739,0.218487395,0.714285714,0.697478992
